category_guess,format_guess,query,source_url
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/efb5cb90-c20b-4464-b8a6-930a4cc7ad86/3.-Додаток-мед.-висновок-(3).pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/31782d69-94b7-4048-9eb7-220e57540f3e/Аквіз-(6).pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/d4edca0f-7bc9-41ee-820f-180c1627917b/1_проєкт-постанови-Про-затвердження-Порядку-остео-(1).pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/eeaa9fc8-dcf6-4fa4-b975-50d15f0d1d07/dn_360_18032026_dod.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/ba217be4-6b6d-4065-a9c2-4966d35908b1/Порядок-(5).pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/fdc5dbeb-f4e5-4981-8731-b327b4654d6a/Порядок-ПМГ.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/0cd75a6e-c2e5-4fca-bfe8-839e4e25bba8/2.-Проект-Змін-до-деяких-постанов-20.11.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/0bf5fe55-831c-40e3-bcc5-430b988e48fc/Перелік-форм_27.11.2025.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/0cd75a6e-c2e5-4fca-bfe8-839e4e25bba8/Порівняльна-таблиця_compressed-(1).pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/17b686ef-8745-4deb-be55-20b3ce44258d/dn_1393_08092025_dod_6.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/uploads/6/33666-dodatok_4_kriterii.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/uploads/0/2812-an_lyc_20171227_0.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/uploads/ckeditor/Громадське+обговорення/2021/04/09/Дод_1-25.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/17b686ef-8745-4deb-be55-20b3ce44258d/dn_1393_08092025_dod_8.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5728757.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/uploads/public/69b/28a/6b3/69b28a6b3002b422832232.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/uploads/public/67f/62d/b04/67f62db04261d522958395.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5718274.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5796286.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-6397229.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-6138302.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5490921.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-2473670.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-3353700.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5507686.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/sites/1/rada-beb/6+HO+Vseukrainske+obiednannia+Pariot/bondarenko-documenty.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-3953106.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5823085.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-4215049.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/sites/1/otsinka_nabu/finalnyi-zvit-ukr.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-5992404.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/sites/1/konkurs-nabu/perelik-zapytan-dlia-testuvannia-na-znannia-zakonodavstva.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/bills_documents/document-4182219.pdf
official_dense,digital,site:kmu.gov.ua filetype:pdf довідка щодо відповідності зобов'язанням України,https://www.kmu.gov.ua/storage/app/sites/1/derzhavna-antykoruptsiina-prohrama-na-20232025-roky.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/1eb560e6-aa5a-4ba9-b23c-c7f1ce8ea0bd/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/1b651f8f-b444-44bc-be5a-47c82934b9a2/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/ea3126a6-2b5f-460e-9388-f3aaba67ad52/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/87c813ca-3feb-41d8-af79-76b031c908b2/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://www.ukrainefacility.me.gov.ua/wp-content/uploads/2024/03/plan-ukraine-facility.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/bac36254-9e62-4e10-bed0-dc21e5a7eafb/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/b7e84352-6043-4f87-a6dd-bf47560da7a6/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/925f01ea-0a48-41d7-b69b-39823adff4cd/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/3ec24e25-e439-4e83-944b-1a0992f07dcf/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/908f97f7-e524-4597-b880-ab1e85bff433/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/7af2b723-5998-4510-866a-fe77020fe107/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/e887622f-df9b-452d-9111-77cb773e8fc9/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/3e96f949-34d1-47a1-85a2-efe55c65ceb3/file.pdf
official_dense,digital,site:me.gov.ua filetype:pdf фінансовий звіт довідка українською,https://me.gov.ua/download/f5e95fcf-ad13-4b59-9f6d-c46ebafa72f7/file.pdf
official_dense,digital,site:mtu.gov.ua filetype:pdf звіт довідка українською 2024,https://askod.mtu.gov.ua/askod/Download/Manual_of_security_code_registration_in_GA_MSA_DUO.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://komzakonpr.rada.gov.ua/uploads/documents/31607.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://komspip.rada.gov.ua/uploads/documents/32389.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://reglament.rada.gov.ua/uploads/documents/32299.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://reglament.rada.gov.ua/uploads/documents/32634.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://reglament.rada.gov.ua/uploads/documents/32643.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://kompkd.rada.gov.ua/uploads/documents/34028.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://itd.rada.gov.ua/billinfo/PZSAAKASH.pdf
official_dense,digital,site:rada.gov.ua filetype:pdf пояснювальна записка проект постанови,https://kompravlud.rada.gov.ua/uploads/documents/34798.pdf
printed_dense,printed,договір українською PDF одна сторінка,https://files.viyar.ua/file/akademіya/dogovіr_(oferta)_viyar_business1731589475.pdf
printed_dense,printed,договір українською PDF одна сторінка,https://www.buhoblik.org.ua/normativka/pdf/trudovij-dogovir/mova.html
printed_dense,printed,договір українською PDF одна сторінка,https://www.ilovepdf.com/uk/merge_pdf
printed_dense,printed,договір українською PDF одна сторінка,https://smallpdf.com/uk
printed_dense,printed,договір українською PDF одна сторінка,https://tools.pdf24.org/uk/remove-pdf-pages
printed_dense,printed,договір українською PDF одна сторінка,https://www.ilovepdf.com/uk/split_pdf
printed_dense,printed,договір українською PDF одна сторінка,https://www.i2pdf.com/uk/split-pdf-pages-in-half
printed_dense,printed,договір українською PDF одна сторінка,https://www.freepdfconvert.com/uk/merge-pdf
printed_dense,printed,договір українською PDF одна сторінка,https://www.adobe.com/ua/acrobat/online/pdf-editor.html
printed_dense,printed,договір українською PDF одна сторінка,https://www.i2img.com/uk/png-to-pdf
printed_dense,printed,договір українською PDF одна сторінка,https://ai-pdf-edit.vercel.app/pdf-editor/jpeg-to-pdf/
printed_dense,printed,договір українською PDF одна сторінка,https://jpgintopdf.github.io/
printed_dense,printed,договір українською PDF одна сторінка,https://avepdf.com/uk/esign-pdf
printed_dense,printed,додаткова угода українською PDF,https://help-rectorat.knu.ua/wp-content/uploads/2023/05/Dodatkova_ugoda-10.pdf
printed_dense,printed,додаткова угода українською PDF,https://nateco.com.ua/files/dodatkova-uhoda-pro-elektronyi-obih.pdf
printed_dense,printed,додаткова угода українською PDF,https://help-rectorat.knu.ua/wp-content/uploads/2023/05/Dodatkova_ugoda-1.pdf
printed_dense,printed,додаткова угода українською PDF,https://faolex.fao.org/docs/pdf/ukr137030.pdf
printed_dense,printed,додаткова угода українською PDF,https://mudrasprava.fund/pub/files/property_lease_agreement_draft.pdf
printed_dense,printed,додаткова угода українською PDF,https://cdn.riastatic.com/docs/dom/support/d/fa/8d2559868eae5004089439cf69257.pdf
printed_dense,printed,акт виконаних робіт українською PDF,https://multi-viza.com.ua/wp-content/uploads/2020/05/act-new.pdf
printed_dense,printed,рахунок фактура українською PDF,https://ukrpravo.biz/doc/rahunok-faktura-v-eksel-ta-pdf.html
printed_dense,printed,рахунок фактура українською PDF,https://tools.pdf24.org/uk/create-invoice
printed_dense,printed,квитанція українською PDF 300 слів,https://library.nlu.edu.ua/POLN_TEXT/Slovnuk/etymolog_slovnyk_tom3.pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://bohdan-books.com/userfiles/file/books/lib_file_1066257317.pdf?srsltid=AfmBOoqKJJF4SODiLhWJhY0Mvj3zM2U5H2XARpHOoYTtGiT1Y-74iM7z
printed_dense,printed,квитанція українською PDF 300 слів,https://diasporiana.org.ua/wp-content/uploads/books/14904/file.pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://www.kspu.edu/FileDownload.ashx/Гриценко+Українська+мова+(за+ПС).pdf?id=bfaf865b-1ae9-4572-8954-89f209a98174
printed_dense,printed,квитанція українською PDF 300 слів,https://r2u.org.ua/data/Російсько-український+словник+правничої+мови+(1926).pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://journals.pdpu.od.ua/info.pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://lpnu.ua/sites/default/files/2026/3/23/events/35446/infocardssxix-2026ua.pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://wertigo.ru/convert/document/image-to-pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://www.ilovepdf.com/jpg_to_pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://ru.scribd.com/document/459225928/Квитанция-о-приеме-3-pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://fiu.gov.ua/assets/userfiles/books/3_slovnyk.pdf
printed_dense,printed,квитанція українською PDF 300 слів,https://dspace.udpu.edu.ua/bitstream/6789/3462/1/IUM_dovidnyk.pdf
printed_dense,printed,товарний чек накладна українською PDF,https://chmnu.edu.ua/wp-content/uploads/2019/07/CHernetska-O.-V..pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://ksma.ks.ua/wp-content/uploads/2026/02/Сертифікат_відповідності_системи_управління_якістю.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://naau.org.ua/userfiles/files/documents/ZD-08_10_32_ISOIEC_17021_1_26_02.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://apelsingurt.com.ua/files/certificates/2/hypertext/3_7/sertifvkat-vvdpovvdnostv_apellsin-1.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://apteka911.ua/content/shop/certificates/19/certificate_91328.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://zakon.isu.net.ua/sites/default/files/normdocs/dstu_1.5_2015.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://education.profiteh.kiev.ua/pluginfile.php/267/mod_page/content/132/ДСТУ+ISO+9001_2015.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://bravis.ua/assets/files/Certificate-178826.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://techreg.in.ua/wp-content/uploads/2019/11/FAQ_compressed.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://epdf.tips/-dda26a38596e265fb9aac2c98de3b43c70863.html
printed_dense,printed,сертифікат відповідності українською PDF,https://greta.ua/content/documents/1/3/files/greta-1470-ge-instruktsiya-po-ekspluatacii.pdf
printed_dense,printed,сертифікат відповідності українською PDF,https://biopro.ucoz.ua/_ld/0/19____.pdf
printed_dense,printed,сертифікат якості продукції українською PDF,https://ispro.ua/uploads/pages/January2022/DjqMbwegeUYTKfjrz7dD.pdf
printed_dense,printed,сертифікат якості продукції українською PDF,https://conf.ztu.edu.ua/wp-content/uploads/2021/01/162.pdf
printed_dense,printed,сертифікат якості продукції українською PDF,https://apteka911.ua/content/shop/certificates/32/certificate_214880.pdf
printed_dense,printed,сертифікат якості продукції українською PDF,https://epdf.tips/-d0ea53a2dac26ff9abff26e1d128eef317181.html
printed_dense,printed,протокол випробувань українською PDF,https://dndivsovt.mil.gov.ua/app/uploads/2024/10/4.protokol-vyprobuvan.pdf
printed_dense,printed,протокол випробувань українською PDF,https://framex.ua/wp-content/uploads/2022/10/protokoli2-2.pdf
printed_dense,printed,протокол випробувань українською PDF,https://zeleniyptah.com.ua/wp-content/uploads/2024/08/Protokol-vyprobuvannia.pdf
printed_dense,printed,протокол випробувань українською PDF,https://framex.ua/wp-content/uploads/2022/10/Framex-protokol-71-2.pdf
printed_dense,printed,протокол випробувань українською PDF,https://axorwin.com.ua/image/sertificat/prot23-01.pdf
printed_dense,printed,протокол випробувань українською PDF,https://www.samgas.com.ua/sites/default/files/protokol.pdf
printed_dense,printed,протокол випробувань українською PDF,https://feofanivska.com.ua/wp-content/uploads/2020/08/protokol-viprobuvan-2020-r.-ivolzhanska-voda-1.pdf
printed_dense,printed,протокол випробувань українською PDF,https://arvit.com.ua/downloads/o-nas/Protocol_G2-102013.pdf
printed_dense,printed,протокол випробувань українською PDF,http://www.repository.hneu.edu.ua/bitstream/123456789/14821/1/С.+В.+Бестужева+Міжнародна+економічна+діяльність+України.pdf
printed_dense,printed,протокол випробувань українською PDF,https://celmet.com.ua/files/Tekh._opis_WIKA_TR36_ukr..pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://www.i2pdf.com/uk/add-page-numbers-to-pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://smallpdf.com/uk/split-pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://cabina.ai/uk/tools/ai-chat-with-pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://tools.pdf24.org/uk/pdf-y-word
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://www.ilovepdf.com/uk
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://www.cly.com.ua/doc/1.+2025_Zvit+nezalegnogo+auditora+(1).pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://procent.com.ua/docs/Zvit_nezalezhnoho_audytora_stanom_na_31.12.2025.pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://www.eprints.oa.edu.ua/id/eprint/8418/1/Посібник_Звітність+підприємств_Іванчук_НВ.pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://swp.school/assets/images/pdf/Ukrainska_mova_2025.pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://fpk.in.ua/images/publichna-informatsiya/finzvit25.pdf
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://fiu.gov.ua/assets/userfiles/EMU/2024+/Fz1pivr24.PDF
printed_dense,printed,фінансовий звіт українською PDF одна сторінка,https://www.inter-nauka.com/uploads/public/14990820908783.pdf
